archive_path,archive_sha256,nested_archive_path,manifest_member,target_member,manifest_expected_sha256,actual_sha256,expected_byte_source,file_type,semantic_content_comparison,likely_cause,scientific_effect,final_classification
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_end_to_end/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_end_to_end/stage0/a303656_p2cover/logs/method_a_7_11.log,9e73fd85b579d3b5883c679f81d281456f9a068c012d420a08c0405bf53501d9,cac9334fa578dd9e13bef6212093591b204847c32594200528a696a2e7e2fcf2,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/method_a_7_11.log,EXECUTION_LOG,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,LOG_ONLY
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_end_to_end/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_end_to_end/stage0/a303656_p2cover/logs/method_b_exact_oracle_7_11_19.log,aa63467769a68363e30aeb9c549f99a11c72996ce297461daef0769c8a29e294,9c77118470aaa0b2bbef42161d8bc51f3c3125e29d8c9922a1700a56f41477d0,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/method_b_exact_oracle_7_11_19.log,EXECUTION_LOG,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,LOG_ONLY
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_end_to_end/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_end_to_end/stage0/a303656_p2cover/logs/verify_pruning.log,77232bf737756af22bbd1c1f8c95af6a0e79332c28d2f83fa6d3b45364950695,35757314b107432a873ceced8e33f8acd76bda457724ffecb9551d812a1a5af5,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/verify_pruning.log,EXECUTION_LOG,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,LOG_ONLY
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_end_to_end/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_end_to_end/stage0/a303656_p2cover/output/method_a_7_11.json,9e73fd85b579d3b5883c679f81d281456f9a068c012d420a08c0405bf53501d9,cac9334fa578dd9e13bef6212093591b204847c32594200528a696a2e7e2fcf2,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/method_a_7_11.log,STRUCTURED_JSON_OUTPUT,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,SEMANTICALLY_EQUIVALENT_RESULT
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_end_to_end/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_end_to_end/stage0/a303656_p2cover/output/method_b_exact_oracle_7_11_19.json,aa63467769a68363e30aeb9c549f99a11c72996ce297461daef0769c8a29e294,9c77118470aaa0b2bbef42161d8bc51f3c3125e29d8c9922a1700a56f41477d0,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/method_b_exact_oracle_7_11_19.log,STRUCTURED_JSON_OUTPUT,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,SEMANTICALLY_EQUIVALENT_RESULT
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_final_stage0/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_final_stage0/stage0/a303656_p2cover/logs/method_a_7_11.log,9e73fd85b579d3b5883c679f81d281456f9a068c012d420a08c0405bf53501d9,7f718f78b0294a98b47e186a88301e324579a1fd078fb74edd2ade61812a53be,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/method_a_7_11.log,EXECUTION_LOG,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,LOG_ONLY
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_final_stage0/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_final_stage0/stage0/a303656_p2cover/logs/method_b_exact_oracle_7_11_19.log,aa63467769a68363e30aeb9c549f99a11c72996ce297461daef0769c8a29e294,4cf76feb8add102e071a3045aa040ac3979bf5bdd8537d8d8de8dc4ca933ebb4,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/method_b_exact_oracle_7_11_19.log,EXECUTION_LOG,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,LOG_ONLY
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_final_stage0/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_final_stage0/stage0/a303656_p2cover/logs/verify_pruning.log,77232bf737756af22bbd1c1f8c95af6a0e79332c28d2f83fa6d3b45364950695,d35fe48b87741e889bfa1fc9d1ec26a21342b9a565e67fa324dda3e44dfa0b1c,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/verify_pruning.log,EXECUTION_LOG,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,LOG_ONLY
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_final_stage0/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_final_stage0/stage0/a303656_p2cover/output/method_a_7_11.json,9e73fd85b579d3b5883c679f81d281456f9a068c012d420a08c0405bf53501d9,7f718f78b0294a98b47e186a88301e324579a1fd078fb74edd2ade61812a53be,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/method_a_7_11.log,STRUCTURED_JSON_OUTPUT,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,SEMANTICALLY_EQUIVALENT_RESULT
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_final_stage0/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_final_stage0/stage0/a303656_p2cover/output/method_b_exact_oracle_7_11_19.json,aa63467769a68363e30aeb9c549f99a11c72996ce297461daef0769c8a29e294,4cf76feb8add102e071a3045aa040ac3979bf5bdd8537d8d8de8dc4ca933ebb4,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/method_b_exact_oracle_7_11_19.log,STRUCTURED_JSON_OUTPUT,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,SEMANTICALLY_EQUIVALENT_RESULT
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_stage0_current/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_stage0_current/stage0/a303656_p2cover/logs/method_a_7_11.log,9e73fd85b579d3b5883c679f81d281456f9a068c012d420a08c0405bf53501d9,220804c6399e76febdeeedfbf8e6098cd55dea1c8925ebfc0eea6fa881153845,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/method_a_7_11.log,EXECUTION_LOG,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,LOG_ONLY
authority/raw/a303656_bounded_counterexample_bundle_refreshed.zip,f877561680531f448e90d38bb097a8d05379d3b25f993e44289ed8f82baa0316,,a303656_bounded_counterexample/reproduce_stage0_current/stage0/a303656_p2cover/SHA256SUMS,a303656_bounded_counterexample/reproduce_stage0_current/stage0/a303656_p2cover/logs/method_b_exact_oracle_7_11_19.log,aa63467769a68363e30aeb9c549f99a11c72996ce297461daef0769c8a29e294,dee9fd12ca73fadca094ba685dc46164dfc629342073b056acb2a089937520cc,a303656_bounded_counterexample_bundle_refreshed.zip!/a303656_bounded_counterexample/baseline/a303656_p2cover_bundle.zip!/a303656_p2cover/logs/method_b_exact_oracle_7_11_19.log,EXECUTION_LOG,MATCH,runtime/timing/environment metadata regenerated while a baseline-byte manifest was retained,NO_SCIENTIFIC_CLAIM_IMPACT,LOG_ONLY
